,workflow,N,T,time,seed
0,real_data,100,10,176.21703513399999,1
0,real_data,100,10,176.476828355,2
0,real_data,100,10,176.215905544,3
0,real_data,100,10,175.9788170029999,4
0,real_data,100,10,177.36098461400002,5
0,real_data,100,10,177.25493547500002,6
0,real_data,100,10,177.75527677499986,7
0,real_data,100,10,175.49467424600016,8
0,real_data,100,10,177.92376806100015,9
0,real_data,100,10,175.7111329720001,10
0,real_data,100,20,269.09397128399996,1
0,real_data,100,20,261.7259640760001,2
0,real_data,100,20,266.82643861299994,3
0,real_data,100,20,260.5306279229999,4
0,real_data,100,20,263.07642714899976,5
0,real_data,100,20,268.30102838899984,6
0,real_data,100,20,264.5540372009996,7
0,real_data,100,20,267.9820355689999,8
0,real_data,100,20,266.91246191499977,9
0,real_data,100,20,265.3732730319998,10
0,real_data,500,10,424.63141912599997,1
0,real_data,500,10,369.134234188,2
0,real_data,500,10,346.450203631,3
0,real_data,500,10,326.0484997860001,4
0,real_data,500,10,326.89219365300005,5
0,real_data,500,10,333.38256120899996,6
0,real_data,500,10,362.52811873300016,7
0,real_data,500,10,417.09749058199986,8
0,real_data,500,10,417.510283006,9
0,real_data,500,10,462.519418891,10
0,real_data,500,20,826.4822602159998,1
0,real_data,500,20,824.2498188830004,2
0,real_data,500,20,821.3881431009995,3
0,real_data,500,20,762.7733791930004,4
0,real_data,500,20,718.7627271470001,5
0,real_data,500,20,603.9537526049999,6
0,real_data,500,20,640.0417980330003,7
0,real_data,500,20,627.8907593200001,8
0,real_data,500,20,603.6768948810004,9
0,real_data,500,20,601.8362236829998,10
0,real_data,1000,10,579.749168798,1
0,real_data,1000,10,595.8463835040002,2
0,real_data,1000,10,669.8751980189991,3
0,real_data,1000,10,579.4169288960002,4
0,real_data,1000,10,574.6335852939992,5
0,real_data,1000,10,574.6039710739988,6
0,real_data,1000,10,624.5887546989998,7
0,real_data,1000,10,576.6959961430002,8
0,real_data,1000,10,575.9033772439998,9
0,real_data,1000,10,568.0033985520004,10
0,real_data,1000,20,1084.0496532510006,1
0,real_data,1000,20,1068.9322114589995,2
0,real_data,1000,20,1171.6113254049997,3
0,real_data,1000,20,1220.6950553569986,4
0,real_data,1000,20,1233.3861545660002,5
0,real_data,1000,20,1202.9551301249994,6
0,real_data,1000,20,1233.9403202199974,7
0,real_data,1000,20,1250.9876106590018,8
0,real_data,1000,20,1256.626970071,9
0,real_data,1000,20,1412.2690800780001,10